x (arbitrary),Main_Ped_Sens, Pot
893,760,371
894,758,371
895,755,371
896,752,371
897,749,372
898,747,373
899,744,373
900,742,374
901,738,375
902,736,375
903,732,376
904,730,377
905,727,377
906,723,378
907,721,378
908,718,379
909,714,380
910,711,380
911,708,381
912,705,381
913,703,382
914,699,383
915,696,384
916,692,384
917,690,385
918,686,386
919,683,386
920,680,387
921,676,388
922,673,389
923,670,389
924,666,390
925,662,391
926,659,391
927,656,392
928,652,393
929,649,394
930,646,394
931,642,395
932,639,395
933,635,396
934,631,397
935,628,398
936,624,399
937,621,400
938,617,400
939,614,400
940,610,401
941,607,402
942,603,402
943,599,403
944,596,404
945,592,404
946,589,405
947,585,406
948,581,407
949,578,408
950,574,409
951,570,410
952,566,410
953,563,411
954,559,412
955,555,412
956,552,413
957,548,414
958,545,415
959,540,416
960,537,417
961,533,418
962,529,419
963,526,419
964,522,420
965,518,421
966,515,422
967,510,422
968,506,423
969,504,424
970,499,425
971,496,425
972,492,426
973,488,427
974,484,428
975,481,428
976,477,429
977,473,430
978,469,431
979,465,432
980,462,432
981,459,433
982,454,434
983,451,434
984,448,435
985,444,436
986,440,437
987,436,438
988,432,438
989,429,440
990,425,441
991,421,441
992,417,442
993,414,443
994,410,444
995,407,444
996,403,444
997,400,445
998,396,446
999,393,446
1000,389,447
1001,385,448
1002,382,448
1003,378,449
1004,375,450
1005,371,451
1006,367,451
1007,364,451
1008,360,452
1009,356,453
1010,352,454
1011,349,455
1012,345,455
1013,342,456
1014,338,456
1015,335,457
1016,331,457
1017,328,459
1018,326,460
1019,326,461
1020,326,460
1021,326,461
1022,326,462
1023,326,462
1024,326,463
1025,326,463
1026,327,464
1027,326,464
1028,326,464
1029,326,464
1030,326,464
1031,326,464
1032,326,464
1033,326,464
1034,326,464
1035,326,464
1036,326,465
1037,326,465
1038,326,465
1039,326,466
1040,326,466
1041,326,466
1042,326,467
1043,326,467
1044,326,467
1045,326,468
1046,326,468
1047,326,468
1048,326,468
