Time,Main_Ped_Sens, Pot,Pot Modified,Ped Normalised,Pot Normalised,,,We proved that both 
57,327,465,465,0.001686341,0.02962963,,,
58,327,465,465,0.001686341,0.02962963,,,
59,327,465,465,0.001686341,0.02962963,,,
60,327,465,465,0.001686341,0.02962963,,,
61,327,465,465,0.001686341,0.02962963,,,
62,327,465,465,0.001686341,0.02962963,,,
63,327,465,465,0.001686341,0.02962963,,,
64,327,465,465,0.001686341,0.02962963,,,
65,327,465,465,0.001686341,0.02962963,,,
66,327,465,465,0.001686341,0.02962963,,,
67,327,465,465,0.001686341,0.02962963,,,
68,327,465,465,0.001686341,0.02962963,,,
69,327,465,465,0.001686341,0.02962963,,,
70,327,465,465,0.001686341,0.02962963,,,
71,327,465,465,0.001686341,0.02962963,,,
72,327,465,465,0.001686341,0.02962963,,,
73,327,465,465,0.001686341,0.02962963,,,
74,327,465,465,0.001686341,0.02962963,,,
75,327,465,465,0.001686341,0.02962963,,,
76,327,465,465,0.001686341,0.02962963,,,
77,327,465,465,0.001686341,0.02962963,,,
78,327,465,465,0.001686341,0.02962963,,,
79,327,465,465,0.001686341,0.02962963,,,
80,327,465,465,0.001686341,0.02962963,,,
81,327,465,465,0.001686341,0.02962963,,,
82,327,465,465,0.001686341,0.02962963,,,
83,327,465,465,0.001686341,0.02962963,,,
84,327,465,465,0.001686341,0.02962963,,,
85,327,465,465,0.001686341,0.02962963,,,
86,327,465,465,0.001686341,0.02962963,,,
87,327,465,465,0.001686341,0.02962963,,,
88,327,465,465,0.001686341,0.02962963,,,
89,327,465,465,0.001686341,0.02962963,,,
90,327,465,465,0.001686341,0.02962963,,,
91,327,465,465,0.001686341,0.02962963,,,
92,328,465,465,0.003372681,0.02962963,,,
93,327,465,465,0.001686341,0.02962963,,,
94,327,465,465,0.001686341,0.02962963,,,
95,327,465,465,0.001686341,0.02962963,,,
96,327,465,465,0.001686341,0.02962963,,,
97,328,465,465,0.003372681,0.02962963,,,
98,327,465,465,0.001686341,0.02962963,,,
99,327,465,465,0.001686341,0.02962963,,,
100,327,465,465,0.001686341,0.02962963,,,
101,327,465,465,0.001686341,0.02962963,,,
102,327,465,465,0.001686341,0.02962963,,,
103,327,465,465,0.001686341,0.02962963,,,
104,327,466,464,0.001686341,0.022222222,,,
105,327,465,465,0.001686341,0.02962963,,,
106,327,465,465,0.001686341,0.02962963,,,
107,327,465,465,0.001686341,0.02962963,,,
108,327,465,465,0.001686341,0.02962963,,,
109,327,465,465,0.001686341,0.02962963,,,
110,327,465,465,0.001686341,0.02962963,,,
111,327,465,465,0.001686341,0.02962963,,,
112,327,465,465,0.001686341,0.02962963,,,
113,327,465,465,0.001686341,0.02962963,,,
114,327,465,465,0.001686341,0.02962963,,,
115,327,465,465,0.001686341,0.02962963,,,
116,327,465,465,0.001686341,0.02962963,,,
117,327,465,465,0.001686341,0.02962963,,,
118,327,465,465,0.001686341,0.02962963,,,
119,327,465,465,0.001686341,0.02962963,,,
120,327,465,465,0.001686341,0.02962963,,,
121,327,465,465,0.001686341,0.02962963,,,
122,327,465,465,0.001686341,0.02962963,,,
123,327,465,465,0.001686341,0.02962963,,,
124,327,465,465,0.001686341,0.02962963,,,
125,327,465,465,0.001686341,0.02962963,,,
126,327,465,465,0.001686341,0.02962963,,,
127,327,465,465,0.001686341,0.02962963,,,
128,327,465,465,0.001686341,0.02962963,,,
129,327,465,465,0.001686341,0.02962963,,,
130,327,465,465,0.001686341,0.02962963,,,
131,327,465,465,0.001686341,0.02962963,,,
132,327,465,465,0.001686341,0.02962963,,,
133,327,465,465,0.001686341,0.02962963,,,
134,327,465,465,0.001686341,0.02962963,,,
135,327,465,465,0.001686341,0.02962963,,,
136,327,465,465,0.001686341,0.02962963,,,
137,327,465,465,0.001686341,0.02962963,,,
138,327,465,465,0.001686341,0.02962963,,,
139,327,465,465,0.001686341,0.02962963,,,
140,327,465,465,0.001686341,0.02962963,,,
141,327,465,465,0.001686341,0.02962963,,,
142,327,465,465,0.001686341,0.02962963,,,
143,327,465,465,0.001686341,0.02962963,,,
144,327,465,465,0.001686341,0.02962963,,,
145,327,465,465,0.001686341,0.02962963,,,
146,327,465,465,0.001686341,0.02962963,,,
147,327,465,465,0.001686341,0.02962963,,,
148,327,465,465,0.001686341,0.02962963,,,
149,327,465,465,0.001686341,0.02962963,,,
150,327,465,465,0.001686341,0.02962963,,,
151,327,465,465,0.001686341,0.02962963,,,
152,327,465,465,0.001686341,0.02962963,,,
153,327,465,465,0.001686341,0.02962963,,,
154,327,465,465,0.001686341,0.02962963,,,
155,327,465,465,0.001686341,0.02962963,,,
156,327,465,465,0.001686341,0.02962963,,,
157,327,465,465,0.001686341,0.02962963,,,
158,327,465,465,0.001686341,0.02962963,,,
159,327,464,466,0.001686341,0.037037037,,,
160,328,465,465,0.003372681,0.02962963,,,
161,327,465,465,0.001686341,0.02962963,,,
162,327,465,465,0.001686341,0.02962963,,,
163,327,465,465,0.001686341,0.02962963,,,
164,327,465,465,0.001686341,0.02962963,,,
165,327,465,465,0.001686341,0.02962963,,,
166,327,465,465,0.001686341,0.02962963,,,
167,327,465,465,0.001686341,0.02962963,,,
168,327,465,465,0.001686341,0.02962963,,,
169,327,465,465,0.001686341,0.02962963,,,
170,327,465,465,0.001686341,0.02962963,,,
171,327,465,465,0.001686341,0.02962963,,,
172,327,465,465,0.001686341,0.02962963,,,
173,327,465,465,0.001686341,0.02962963,,,
174,327,465,465,0.001686341,0.02962963,,,
175,327,465,465,0.001686341,0.02962963,,,
176,327,465,465,0.001686341,0.02962963,,,
177,327,465,465,0.001686341,0.02962963,,,
178,327,465,465,0.001686341,0.02962963,,,
179,327,465,465,0.001686341,0.02962963,,,
180,327,465,465,0.001686341,0.02962963,,,
181,327,465,465,0.001686341,0.02962963,,,
182,327,465,465,0.001686341,0.02962963,,,
183,327,465,465,0.001686341,0.02962963,,,
184,327,465,465,0.001686341,0.02962963,,,
185,327,465,465,0.001686341,0.02962963,,,
186,327,465,465,0.001686341,0.02962963,,,
187,327,465,465,0.001686341,0.02962963,,,
188,327,465,465,0.001686341,0.02962963,,,
189,327,465,465,0.001686341,0.02962963,,,
190,327,465,465,0.001686341,0.02962963,,,
191,327,465,465,0.001686341,0.02962963,,,
192,327,465,465,0.001686341,0.02962963,,,
193,327,465,465,0.001686341,0.02962963,,,
194,327,465,465,0.001686341,0.02962963,,,
195,327,465,465,0.001686341,0.02962963,,,
196,328,465,465,0.003372681,0.02962963,,,
197,328,465,465,0.003372681,0.02962963,,,
198,327,465,465,0.001686341,0.02962963,,,
199,327,465,465,0.001686341,0.02962963,,,
200,327,465,465,0.001686341,0.02962963,,,
201,327,465,465,0.001686341,0.02962963,,,
202,327,465,465,0.001686341,0.02962963,,,
203,327,465,465,0.001686341,0.02962963,,,
204,327,465,465,0.001686341,0.02962963,,,
205,327,465,465,0.001686341,0.02962963,,,
206,327,465,465,0.001686341,0.02962963,,,
207,327,465,465,0.001686341,0.02962963,,,
208,327,465,465,0.001686341,0.02962963,,,
209,327,465,465,0.001686341,0.02962963,,,
210,327,465,465,0.001686341,0.02962963,,,
211,327,465,465,0.001686341,0.02962963,,,
212,327,465,465,0.001686341,0.02962963,,,
213,327,465,465,0.001686341,0.02962963,,,
214,327,465,465,0.001686341,0.02962963,,,
215,327,465,465,0.001686341,0.02962963,,,
216,327,465,465,0.001686341,0.02962963,,,
217,327,465,465,0.001686341,0.02962963,,,
218,327,465,465,0.001686341,0.02962963,,,
219,328,465,465,0.003372681,0.02962963,,,
220,327,465,465,0.001686341,0.02962963,,,
221,327,465,465,0.001686341,0.02962963,,,
222,328,465,465,0.003372681,0.02962963,,,
223,327,465,465,0.001686341,0.02962963,,,
224,327,465,465,0.001686341,0.02962963,,,
225,327,465,465,0.001686341,0.02962963,,,
226,327,465,465,0.001686341,0.02962963,,,
227,327,465,465,0.001686341,0.02962963,,,
228,327,465,465,0.001686341,0.02962963,,,
229,327,465,465,0.001686341,0.02962963,,,
230,327,465,465,0.001686341,0.02962963,,,
231,327,465,465,0.001686341,0.02962963,,,
232,327,465,465,0.001686341,0.02962963,,,
233,327,465,465,0.001686341,0.02962963,,,
234,327,465,465,0.001686341,0.02962963,,,
235,327,465,465,0.001686341,0.02962963,,,
236,327,465,465,0.001686341,0.02962963,,,
237,327,465,465,0.001686341,0.02962963,,,
238,327,465,465,0.001686341,0.02962963,,,
239,327,465,465,0.001686341,0.02962963,,,
240,327,464,466,0.001686341,0.037037037,,,
241,327,465,465,0.001686341,0.02962963,,,
242,327,465,465,0.001686341,0.02962963,,,
243,327,465,465,0.001686341,0.02962963,,,
244,327,465,465,0.001686341,0.02962963,,,
245,327,465,465,0.001686341,0.02962963,,,
246,327,465,465,0.001686341,0.02962963,,,
247,327,465,465,0.001686341,0.02962963,,,
248,327,465,465,0.001686341,0.02962963,,,
249,327,465,465,0.001686341,0.02962963,,,
250,327,465,465,0.001686341,0.02962963,,,
251,327,465,465,0.001686341,0.02962963,,,
252,327,465,465,0.001686341,0.02962963,,,
253,327,464,466,0.001686341,0.037037037,,,
254,327,465,465,0.001686341,0.02962963,,,
255,327,465,465,0.001686341,0.02962963,,,
256,327,465,465,0.001686341,0.02962963,,,
257,327,465,465,0.001686341,0.02962963,,,
258,327,465,465,0.001686341,0.02962963,,,
259,327,465,465,0.001686341,0.02962963,,,
260,327,465,465,0.001686341,0.02962963,,,
261,327,465,465,0.001686341,0.02962963,,,
262,327,465,465,0.001686341,0.02962963,,,
263,327,465,465,0.001686341,0.02962963,,,
264,327,465,465,0.001686341,0.02962963,,,
265,327,465,465,0.001686341,0.02962963,,,
266,327,465,465,0.001686341,0.02962963,,,
267,327,464,466,0.001686341,0.037037037,,,
268,327,464,466,0.001686341,0.037037037,,,
269,327,465,465,0.001686341,0.02962963,,,
270,327,465,465,0.001686341,0.02962963,,,
271,327,465,465,0.001686341,0.02962963,,,
272,327,464,466,0.001686341,0.037037037,,,
273,327,464,466,0.001686341,0.037037037,,,
274,327,464,466,0.001686341,0.037037037,,,
275,327,464,466,0.001686341,0.037037037,,,
276,327,465,465,0.001686341,0.02962963,,,
277,327,464,466,0.001686341,0.037037037,,,
278,327,464,466,0.001686341,0.037037037,,,
279,327,464,466,0.001686341,0.037037037,,,
280,327,464,466,0.001686341,0.037037037,,,
281,327,464,466,0.001686341,0.037037037,,,
282,327,464,466,0.001686341,0.037037037,,,
283,327,464,466,0.001686341,0.037037037,,,
284,327,464,466,0.001686341,0.037037037,,,
285,327,464,466,0.001686341,0.037037037,,,
286,327,464,466,0.001686341,0.037037037,,,
287,327,464,466,0.001686341,0.037037037,,,
288,327,464,466,0.001686341,0.037037037,,,
289,327,464,466,0.001686341,0.037037037,,,
290,329,464,466,0.005059022,0.037037037,,,
291,329,464,466,0.005059022,0.037037037,,,
292,330,464,466,0.006745363,0.037037037,,,
293,329,464,466,0.005059022,0.037037037,,,
294,330,464,466,0.006745363,0.037037037,,,
295,330,464,466,0.006745363,0.037037037,,,
296,330,464,466,0.006745363,0.037037037,,,
297,331,464,466,0.008431703,0.037037037,,,
298,332,464,466,0.010118044,0.037037037,,,
299,332,464,466,0.010118044,0.037037037,,,
300,332,464,466,0.010118044,0.037037037,,,
301,333,463,467,0.011804384,0.044444444,,,
302,333,463,467,0.011804384,0.044444444,,,
303,334,463,467,0.013490725,0.044444444,,,
304,335,463,467,0.015177066,0.044444444,,,
305,335,463,467,0.015177066,0.044444444,,,
306,337,463,467,0.018549747,0.044444444,,,
307,338,463,467,0.020236088,0.044444444,,,
308,338,463,467,0.020236088,0.044444444,,,
309,339,462,468,0.021922428,0.051851852,,,
310,340,462,468,0.023608769,0.051851852,,,
311,341,462,468,0.02529511,0.051851852,,,
312,343,462,468,0.028667791,0.051851852,,,
313,344,461,469,0.030354132,0.059259259,,,
314,345,462,468,0.032040472,0.051851852,,,
315,346,461,469,0.033726813,0.059259259,,,
316,347,461,469,0.035413153,0.059259259,,,
317,349,461,469,0.038785835,0.059259259,,,
318,350,460,470,0.040472175,0.066666667,,,
319,352,460,470,0.043844857,0.066666667,,,
320,354,460,470,0.047217538,0.066666667,,,
321,357,459,471,0.05227656,0.074074074,,,
322,359,458,472,0.055649241,0.081481481,,,
323,362,457,473,0.060708263,0.088888889,,,
324,365,457,473,0.065767285,0.088888889,,,
325,368,456,474,0.070826307,0.096296296,,,
326,372,456,474,0.077571669,0.096296296,,,
327,375,455,475,0.082630691,0.103703704,,,
328,379,455,475,0.089376054,0.103703704,,,
329,382,454,476,0.094435076,0.111111111,,,
330,386,453,477,0.101180438,0.118518519,,,
331,390,452,478,0.107925801,0.125925926,,,
332,394,451,479,0.114671164,0.133333333,,,
333,398,451,479,0.121416526,0.133333333,,,
334,402,450,480,0.128161889,0.140740741,,,
335,406,450,480,0.134907251,0.140740741,,,
336,409,450,480,0.139966273,0.140740741,,,
337,411,449,481,0.143338954,0.148148148,,,
338,413,449,481,0.146711636,0.148148148,,,
339,415,449,481,0.150084317,0.148148148,,,
340,415,448,482,0.150084317,0.155555556,,,
341,418,448,482,0.155143339,0.155555556,,,
342,419,447,483,0.15682968,0.162962963,,,
343,421,447,483,0.160202361,0.162962963,,,
344,424,447,483,0.165261383,0.162962963,,,
345,426,446,484,0.168634064,0.17037037,,,
346,427,446,484,0.170320405,0.17037037,,,
347,429,445,485,0.173693086,0.177777778,,,
348,431,445,485,0.177065767,0.177777778,,,
349,433,445,485,0.180438449,0.177777778,,,
350,436,444,486,0.18549747,0.185185185,,,
351,438,444,486,0.188870152,0.185185185,,,
352,440,444,486,0.192242833,0.185185185,,,
353,443,444,486,0.197301855,0.185185185,,,
354,445,443,487,0.200674536,0.192592593,,,
355,447,443,487,0.204047218,0.192592593,,,
356,450,443,487,0.209106239,0.192592593,,,
357,452,442,488,0.212478921,0.2,,,
358,454,441,489,0.215851602,0.207407407,,,
359,456,441,489,0.219224283,0.207407407,,,
360,459,440,490,0.224283305,0.214814815,,,
361,460,440,490,0.225969646,0.214814815,,,
362,463,439,491,0.231028668,0.222222222,,,
363,466,438,492,0.23608769,0.22962963,,,
364,468,437,493,0.239460371,0.237037037,,,
365,471,437,493,0.244519393,0.237037037,,,
366,473,437,493,0.247892074,0.237037037,,,
367,475,436,494,0.251264755,0.244444444,,,
368,478,436,494,0.256323777,0.244444444,,,
369,481,435,495,0.261382799,0.251851852,,,
370,483,434,496,0.264755481,0.259259259,,,
371,485,434,496,0.268128162,0.259259259,,,
372,488,433,497,0.273187184,0.266666667,,,
373,491,433,497,0.278246206,0.266666667,,,
374,493,432,498,0.281618887,0.274074074,,,
375,496,432,498,0.286677909,0.274074074,,,
376,499,431,499,0.291736931,0.281481481,,,
377,501,431,499,0.295109612,0.281481481,,,
378,505,430,500,0.301854975,0.288888889,,,
379,507,429,501,0.305227656,0.296296296,,,
380,510,429,501,0.310286678,0.296296296,,,
381,512,428,502,0.313659359,0.303703704,,,
382,515,428,502,0.318718381,0.303703704,,,
383,518,427,503,0.323777403,0.311111111,,,
384,520,427,503,0.327150084,0.311111111,,,
