Time (ms),Analogue Pedal Reading,Input PWM
2569,326,0
2571,326,0
2573,326,0
2576,326,0
2578,326,0
2580,326,0
2582,326,0
2585,326,0
2587,326,0
2589,326,0
2592,326,0
2594,326,0
2596,326,0
2599,326,0
2601,326,0
2604,326,0
2607,326,0
2609,326,0
2611,326,0
2614,326,0
2616,326,0
2618,326,0
2621,326,0
2623,326,0
2625,326,0
2628,326,0
2630,326,0
2632,326,0
2635,326,0
2637,326,0
2639,326,0
2642,326,0
2644,326,0
2647,326,0
2650,326,0
2652,326,0
2654,326,0
2657,326,0
2659,326,0
2661,326,0
2663,326,0
2666,326,0
2668,326,0
2670,326,0
2673,326,0
2675,326,0
2677,326,0
2680,326,0
2682,326,0
2684,326,0
2688,326,0
2690,326,0
2692,326,0
2695,326,0
2697,326,0
2699,326,0
2702,326,0
2704,326,0
2706,326,0
2709,326,0
2711,326,0
2713,326,0
2716,326,0
2718,326,0
2720,326,0
2723,326,0
2725,326,0
2727,326,0
2731,326,0
2733,326,0
2735,326,0
2738,326,0
2740,326,0
2742,326,0
2745,326,0
2747,326,0
2749,326,0
2751,326,0
2754,326,0
2756,326,0
2758,326,0
2761,326,0
2763,326,0
2765,326,0
2768,326,0
2770,326,0
2772,326,0
2776,326,0
2778,326,0
2780,326,0
2783,326,0
2785,326,0
2787,326,0
2790,326,0
2792,326,0
2794,326,0
2797,326,0
2799,326,0
2801,326,0
2804,326,0
2806,326,0
2808,326,0
2811,326,0
2813,326,0
2816,326,0
2819,326,0
2821,326,0
2823,326,0
2826,326,0
2828,326,0
2830,326,0
2833,326,0
2835,326,0
2837,326,0
2839,326,0
2842,326,0
2844,326,0
2846,326,0
2849,326,0
2851,326,0
2853,326,0
2856,326,0
2859,326,0
2861,326,0
2864,326,0
2866,326,0
2868,326,0
2871,326,0
2873,326,0
2875,326,0
2878,326,0
2880,326,0
2882,326,0
2885,326,0
2887,326,0
2889,326,0
2892,326,0
2894,327,0
2896,326,0
2899,326,0
2902,326,0
2904,326,0
2907,326,0
2909,326,0
2911,326,0
2914,326,0
2916,326,0
2918,326,0
2921,326,0
2923,326,0
2925,326,0
2927,325,0
2930,326,0
2932,326,0
2934,326,0
2937,326,0
2939,326,0
2941,326,0
2945,326,0
2947,326,0
2949,326,0
2952,326,0
2954,326,0
2956,326,0
2959,326,0
2961,326,0
2963,326,0
2966,326,0
2968,326,0
2970,326,0
2973,326,0
2975,326,0
2977,326,0
2980,326,0
2982,326,0
2984,326,0
2988,326,0
2990,326,0
2992,326,0
2995,326,0
2997,327,0
2999,326,0
3002,326,0
3004,326,0
3006,326,0
3009,326,0
3011,326,0
3013,326,0
3015,326,0
3018,326,0
3020,327,0
3022,326,0
3025,326,0
3027,326,0
3030,326,0
3033,326,0
3035,326,0
3037,326,0
3040,326,0
3042,326,0
3044,326,0
3047,326,0
3049,326,0
3051,326,0
3054,326,0
3056,326,0
3058,326,0
3061,326,0
3063,326,0
3065,326,0
3068,326,0
3070,326,0
3073,326,0
3076,326,0
3078,326,0
3080,326,0
3083,326,0
3085,326,0
3087,326,0
3090,326,0
3092,326,0
3094,326,0
3097,326,0
3099,326,0
3101,326,0
3103,326,0
3106,326,0
3108,326,0
3110,326,0
3113,326,0
3116,326,0
3118,326,0
3121,326,0
3123,326,0
3125,326,0
3128,326,0
3130,326,0
3132,326,0
3135,326,0
3137,326,0
3139,326,0
3142,326,0
3144,326,0
3146,326,0
3149,326,0
3151,326,0
3153,326,0
3156,326,0
3159,326,0
3161,326,0
3164,326,0
3166,326,0
3168,326,0
3171,326,0
3173,326,0
3175,326,0
3178,326,0
3180,326,0
3182,326,0
3185,326,0
3187,326,0
3189,326,0
3191,326,0
3194,326,0
3196,326,0
3198,326,0
3202,326,0
3204,327,0
3206,326,0
3209,326,0
3211,326,0
3213,326,0
3216,326,0
3218,326,0
3220,326,0
3223,326,0
3225,326,0
3227,326,0
3230,325,0
3232,326,0
3234,326,0
3237,326,0
3239,326,0
3241,326,0
3245,326,0
3247,326,0
3249,326,0
3252,326,0
3254,326,0
3256,326,0
3259,326,0
3261,326,0
3263,326,0
3266,326,0
3268,326,0
3270,326,0
3272,326,0
3275,326,0
3277,326,0
3279,326,0
3282,326,0
3284,326,0
3287,326,0
3290,326,0
3292,326,0
3294,326,0
3297,326,0
3299,326,0
3301,326,0
3304,326,0
3306,326,0
3308,326,0
3311,326,0
3313,326,0
3315,326,0
3318,326,0
3320,326,0
3322,326,0
3325,326,0
3328,326,0
3330,326,0
3333,326,0
3335,326,0
3337,326,0
3340,326,0
3342,326,0
3344,326,0
3347,326,0
3349,326,0
3351,326,0
3354,326,0
3356,326,0
3358,326,0
3360,326,0
3363,326,0
3365,326,0
3367,326,0
3371,326,0
3373,326,0
3375,326,0
3378,326,0
3380,327,0
3382,326,0
3385,326,0
3387,326,0
3389,326,0
3392,326,0
3394,326,0
3396,326,0
3399,326,0
3401,326,0
3403,326,0
3406,326,0
3408,326,0
3410,326,0
3414,326,0
3416,326,0
3418,326,0
3421,326,0
3423,326,0
3425,326,0
3428,326,0
3430,326,0
3432,326,0
3435,326,0
3437,326,0
3439,326,0
3442,326,0
3444,326,0
3446,326,0
3448,326,0
3451,326,0
3453,326,0
3456,326,0
3459,326,0
3461,326,0
3463,326,0
3466,326,0
3468,326,0
3470,326,0
3473,326,0
3475,326,0
3477,326,0
3480,326,0
3482,326,0
3484,326,0
3487,326,0
3489,326,0
3491,326,0
3494,326,0
3496,325,0
3499,326,0
3502,326,255
3504,326,255
3507,326,255
3510,326,255
3512,326,255
3515,326,255
3518,326,255
3520,326,255
3523,331,255
3526,338,255
3528,349,255
3531,360,255
3533,372,255
3536,384,255
3539,395,255
3542,406,255
3545,419,255
3548,431,255
3550,442,255
3553,454,255
3556,467,255
3558,479,255
3561,491,255
3564,503,255
3566,515,255
3569,528,255
3572,540,255
3574,552,255
3577,564,255
3580,576,255
3582,588,255
3586,600,255
3589,612,255
3591,624,255
3594,636,255
3597,647,255
3599,659,255
3602,671,255
3605,683,255
3607,694,255
3610,706,255
3613,718,255
3615,729,255
3618,740,255
3620,751,255
3623,762,255
3627,774,255
3629,783,255
3632,794,255
3635,804,255
3637,815,255
3640,826,255
3643,836,255
3645,846,255
3648,855,255
3651,865,255
3653,872,255
3656,879,255
3659,883,255
3661,890,255
3664,896,255
3667,905,255
3670,914,255
3673,923,255
3676,929,255
3678,929,255
3681,930,255
3683,929,255
3686,929,255
3689,929,255
3691,929,255
3694,929,255
3697,929,255
3699,929,255
3702,929,255
3705,930,255
3707,930,255
3710,929,255
3714,929,255
3716,929,255
3719,929,255
3722,929,255
3724,929,255
3727,929,255
3730,929,255
3732,930,255
3735,929,255
3738,929,255
3740,929,255
3743,929,255
3746,929,255
3748,929,255
3751,929,255
3755,929,255
3757,930,255
3760,929,255
3763,929,255
3765,929,255
3768,930,255
3770,930,255
3773,929,255
3776,929,255
3778,929,255
3781,929,255
3784,929,255
3786,929,255
3789,929,255
3792,930,255
3794,929,255
3798,929,255
3801,929,255
3803,929,255
3806,929,255
3809,930,255
3811,929,255
3814,929,255
3817,929,255
3819,929,255
3822,929,255
3825,929,255
3827,929,255
3830,929,255
3833,929,255
3835,929,255
3838,929,255
3842,929,255
3844,930,255
3847,929,255
3850,929,255
3852,929,255
3855,929,255
3857,929,255
3860,929,255
3863,929,255
3865,929,255
3868,929,255
3871,929,255
3873,929,255
3876,929,255
3879,929,255
3881,929,255
3885,929,255
3888,929,255
3890,929,255
3893,929,255
3896,929,255
3898,929,255
3901,929,255
3904,929,255
3906,929,255
3909,929,255
3912,929,255
3914,929,255
3917,929,255
3920,929,255
3922,929,255
3926,929,255
3929,929,255
3931,929,255
3934,929,255
3937,929,255
3939,929,255
3942,929,255
3944,929,255
3947,929,255
3950,929,255
3952,929,255
3955,929,255
3958,929,255
3960,929,255
3963,929,255
3966,930,255
3969,930,255
3972,929,255
3975,929,255
3977,929,255
3980,929,255
3983,929,255
3985,929,255
3988,929,255
3991,929,255
3993,929,255
3996,929,255
3999,929,255
4001,929,255
4004,929,255
4007,929,255
4009,929,255
4013,929,255
4016,929,255
4018,929,255
4021,929,255
4024,929,255
4026,929,255
4029,930,255
4031,929,255
4034,929,255
4037,929,255
4039,929,255
4042,929,255
4045,929,255
4047,929,255
4050,929,255
4054,930,255
4056,929,255
4059,929,255
4062,929,255
4064,929,255
4067,929,255
4070,929,255
4072,929,255
4075,929,255
4078,929,255
4080,929,255
4083,930,255
4086,929,255
4088,929,255
4091,929,255
4094,929,255
4097,930,255
4100,929,255
4103,929,255
4105,929,255
4108,929,255
4111,930,255
4113,929,255
4116,929,255
4118,929,255
4121,929,255
4124,929,255
4126,929,255
4129,929,255
4132,930,255
4134,929,255
4137,929,255
4141,929,255
4143,929,255
4146,929,255
4149,930,255
4151,929,255
4154,929,255
4157,929,255
4159,929,255
4162,929,255
4165,929,255
4167,929,255
4170,930,255
4173,929,255
4175,929,255
4178,929,255
4182,929,255
4184,929,255
4187,929,255
4190,929,255
4192,930,255
4195,929,255
4198,930,255
4200,929,255
4203,929,255
4205,929,255
4208,930,255
4211,929,255
4213,929,255
4216,929,255
4219,930,255
4221,929,255
4225,929,255
4228,929,255
4230,929,255
4233,929,255
4236,929,255
