373,406,-60,
376,405,-60,
379,404,60,
381,404,60,
384,403,60,
387,403,60,
389,403,60,
392,403,60,
394,404,60,
397,404,60,
399,404,60,
402,404,60,
404,404,60,
407,405,60,
409,405,60,
412,406,60,
414,406,60,
417,406,-60,
419,406,-60,
422,407,-60,
425,407,-60,
428,406,-60,
431,406,-60,
434,406,-60,
436,405,-60,
439,405,-60,
442,404,-60,
444,403,-60,
447,403,-60,
450,402,-60,
452,401,-60,
455,401,-60,
458,401,60,
460,400,60,
463,400,60,
465,400,60,
468,400,60,
471,400,60,
474,400,60,
476,400,60,
479,400,60,
481,401,60,
484,401,60,
486,401,60,
489,401,60,
491,402,60,
494,402,60,
496,402,60,
498,403,60,
501,403,60,
504,404,-60,
506,404,-60,
509,404,-60,
512,404,-60,
515,404,-60,
518,404,-60,
520,403,-60,
523,403,-60,
526,402,-60,
528,401,-60,
531,401,-60,
534,401,60,
536,400,60,
539,400,60,
541,400,60,
544,400,60,
546,400,60,
549,400,60,
551,400,60,
555,401,60,
557,401,60,
560,401,60,
562,401,60,
565,401,60,
567,402,60,
570,402,60,
572,402,-60,
575,403,-60,
577,403,-60,
580,403,-60,
583,403,-60,
585,402,-60,
588,402,-60,
591,401,-60,
593,401,-60,
596,401,-60,
600,400,-60,
602,399,-60,
605,399,-60,
608,398,-60,
610,398,-60,
613,397,60,
615,397,60,
618,397,60,
620,397,60,
623,397,60,
625,397,60,
628,397,60,
630,397,60,
633,397,60,
635,397,60,
638,397,60,
641,398,-60,
644,398,-60,
647,398,-60,
649,398,-60,
652,398,-60,
655,397,-60,
657,397,-60,
660,397,-60,
663,396,-60,
665,396,-60,
668,396,60,
670,395,60,
673,395,60,
675,395,60,
678,395,60,
680,395,60,
684,395,60,
686,395,60,
689,396,60,
691,396,60,
694,396,60,
696,396,60,
699,397,60,
701,397,60,
704,397,60,
706,397,-60,
709,398,-60,
712,398,-60,
714,398,-60,
717,398,-60,
719,397,-60,
722,397,-60,
726,397,-60,
728,396,-60,
731,396,-60,
734,395,-60,
736,395,-60,
739,394,-60,
742,393,-60,
744,393,-60,
747,393,60,
750,392,60,
752,391,60,
755,391,60,
757,391,60,
759,392,60,
762,392,60,
764,392,60,
768,392,60,
770,393,60,
773,393,60,
775,393,60,
778,394,60,
780,394,60,
783,394,60,
785,395,60,
788,395,-60,
791,395,-60,
793,396,-60,
796,395,-60,
799,395,-60,
801,395,-60,
804,394,-60,
806,394,-60,
809,393,-60,
813,393,-60,
816,392,60,
818,391,60,
820,391,60,
823,391,60,
825,391,60,
828,391,60,
830,392,60,
833,392,60,
835,393,60,
838,392,60,
840,393,60,
843,393,60,
845,394,60,
848,393,60,
850,394,60,
854,395,60,
856,395,60,
859,395,-60,
861,396,-60,
864,396,-60,
867,395,-60,
869,396,-60,
872,395,-60,
875,394,-60,
877,394,-60,
880,394,-60,
883,393,-60,
885,393,60,
888,392,60,
890,392,60,
893,392,60,
896,392,60,
899,392,60,
901,392,60,
904,393,60,
906,393,60,
909,393,60,
911,393,60,
914,393,60,
916,394,60,
919,394,60,
921,395,60,
924,395,-60,
926,395,-60,
929,395,-60,
932,396,-60,
934,395,-60,
937,395,-60,
941,394,-60,
943,394,-60,
946,393,-60,
949,393,-60,
951,393,-60,
954,392,-60,
957,391,-60,
959,391,60,
962,390,60,
964,390,60,
967,390,60,
969,390,60,
972,390,60,
974,390,60,
977,390,60,
979,390,60,
983,391,60,
985,391,60,
988,391,60,
990,392,60,
993,392,60,
995,393,60,
